site,horizon,units,n_layers,dropout,tune_rmse,best_epoch,train_s
accra,7-day,64,1,0.2,0.8575,6,12.0
accra,7-day,64,2,0.0,0.8563,3,20.9
accra,7-day,64,2,0.2,0.8508,3,23.9
accra,7-day,128,1,0.0,0.8616,2,20.9
accra,7-day,128,1,0.2,0.8582,2,21.2
accra,7-day,128,2,0.0,0.8565,3,52.7
accra,7-day,128,2,0.2,0.8545,3,55.0
takoradi,7-day,32,1,0.0,1.0049,5,7.5
takoradi,7-day,32,1,0.2,0.9991,5,7.6
takoradi,7-day,32,2,0.0,0.9923,4,13.6
takoradi,7-day,32,2,0.2,0.9905,5,14.7
takoradi,7-day,64,1,0.0,1.0105,2,9.0
takoradi,7-day,64,1,0.2,0.9998,4,11.4
takoradi,7-day,64,2,0.0,0.995,3,22.9
takoradi,7-day,64,2,0.2,0.991,3,24.6
takoradi,7-day,128,1,0.0,1.0062,3,23.0
takoradi,7-day,128,1,0.2,0.9997,3,21.5
takoradi,7-day,128,2,0.0,0.9908,1,38.0
takoradi,7-day,128,2,0.2,0.9918,2,45.9
