Site,Model,Horizon,RMSE,MAE,R2,N
Navrongo,Random forest,7-day,0.958,0.72,0.158,730
Navrongo,XGBoost,7-day,0.964,0.726,0.149,730
Tamale,Random forest,7-day,0.91,0.686,0.173,730
Tamale,XGBoost,7-day,0.93,0.701,0.137,730
Kumasi,Random forest,7-day,0.699,0.517,0.259,730
Kumasi,XGBoost,7-day,0.714,0.526,0.228,730
Accra,Random forest,7-day,0.863,0.628,0.092,730
Accra,XGBoost,7-day,0.884,0.642,0.047,730
Takoradi,Random forest,7-day,1.013,0.774,0.052,730
Takoradi,XGBoost,7-day,1.029,0.786,0.021,730
Navrongo,LSTM,7-day,0.967,0.731,0.143,730
Tamale,LSTM,7-day,0.898,0.685,0.194,730
Kumasi,LSTM,7-day,0.723,0.542,0.207,730
Accra,LSTM,7-day,0.87,0.652,0.076,730
Takoradi,LSTM,7-day,1.011,0.781,0.057,730
